widx,source_catalog,FIRST_ID,RA,Dec,z,FR0,FRI,FRII,WAT,NAT,HT,Confused,Double_Double,Diffuse,L_1.4GHz_log,M_{BH},alpha,NVSS_ID,Plate,Julian,Fibre,Host_name,f_name,f_Seq,Other,PosRef,Offset,f_z,Flux_FIRST_1400MHz,Flux_NVSS_1400MHz,Flux_3000MHz,Flux_150MHz,RCl,Size_rad,LAS,OA,Rc,g-r,Mr,Mstar,R_50,D_4000,C,mu_50,eta,Q,n,PCA1,PCA2,L_[OIII],HERG-LERG,Cluster_Name,zCl,f_zCl,Dc,Sep,Dl,r500,RL*500,M500,N500,xmatch_zgated
1035,Lao,J021839.9-001507,34.66793,-0.25199,0.64624,False,False,False,True,False,False,False,False,False,25.93,9.08,0.66,,,,,WISEA J021840.30-001507.1,,,,,,s,52.95,,32.06,,,235.0,33.0,107.0,12.3,1.86,-23.18,,,,,,,,,,,,,WHL J021845.2-001452,0.6561,s,2452.0,75.0,538.0,1.247,207.49,8.86,103.0,
1036,Lao,J021840.1-032304,34.66724,-3.38501,0.21931,False,False,True,True,False,False,False,False,False,24.66,8.64,0.97,,,,,WISEA J021840.13-032306.0,,,,,,s,30.17,,14.36,,,91.0,25.0,169.5,15.1,1.3,-22.7,,,,,,,,,,,,,WHL J021840.1-032306,0.2194,s,924.0,1.0,4.0,0.636,25.11,1.14,22.0,
1037,Lao,J021920.3-005132,34.83297,-0.85911,1.40912,False,True,False,False,True,False,False,False,False,26.83,,0.54,,,,,DESI J021919.91-005132.8,,,,,,p,79.21,,52.33,,,277.0,32.0,85.7,9.7,0.41,,,,,,,,,,,,,,SDSS CE J034.823296-00.870456,0.4015,p,1610.0,54.0,301.0,,,,,
1038,Lao,J021931.7-074737,34.88291,-7.79536,0.23053,False,False,False,True,False,False,False,False,False,25.33,8.14,0.69,,,,,WISEA J021931.89-074743.2,,,,,,s,134.26,,79.3,,,148.0,39.0,126.2,28.6,1.32,-22.47,,,,,,,,,,,,,WH J021931.9-074743,0.2305,s,968.0,0.0,0.0,0.418,11.48,0.53,6.0,
1039,Lao,J022016.3-014604,35.06831,-1.76799,,False,True,False,True,False,False,False,False,False,,,0.08,,,,,,,,,,,,28.18,,26.43,,,,22.0,106.9,8.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1040,Lao,J022040.6-010416,35.17063,-1.06968,0.34956,False,True,False,False,True,False,False,False,False,25.34,8.69,0.7,,,,,WISEA J022040.95-010410.8,,,,,,s,54.09,,31.76,,,260.0,51.0,78.3,8.1,1.71,-23.41,,,,,,,,,,,,,WHL J022040.9-010411,0.3496,s,1422.0,0.0,0.0,0.66,20.4,1.11,11.0,
1042,Lao,J022327.0+013421,35.86224,1.57207,0.51292,False,False,False,True,False,False,False,False,False,25.73,,0.76,,,,,DESI J022326.94+013419.5,,,,,,p,53.92,,30.24,,,185.0,29.0,113.7,12.3,,,,,,,,,,,,,,,,,,,,,,,,,
1044,Lao+Mirabest,J022332.5-085741,35.88655,-8.96078,0.41446,False,True,False,True,False,False,False,False,False,25.79,9.35,1.23,J022333-085739,454.0,51908.0,271.0,WISEA J022332.77-085738.7,"h,j",,,,,s,87.53,77.0,34.26,,2.0,215.0,38.0,138.0,23.6,1.9,-23.23,,,,,,,,,,,,,WHL J022332.8-085739,0.4145,s,1656.0,0.0,0.0,0.84,54.79,2.44,39.0,Y
1045,Lao,J022332.6-071354,35.88779,-7.22796,0.27921,False,False,False,True,False,False,False,False,False,25.54,8.52,1.39,,,,,WISEA J022333.07-071340.6,,,,,,s,118.98,,41.1,,,228.0,52.0,153.6,116.0,1.58,-23.31,,,,,,,,,,,,,AMF J022333.1-071341,0.2792,s,1157.0,0.0,0.0,0.756,35.54,1.6,31.0,
1046,Lao+Sasmal,J022428.4+065929,36.11845,6.98982,1.31018,False,False,False,True,False,False,False,False,False,27.53,,-0.09,,,,,DESI J022428.43+065923.3,f,,,EE,,p,777.32,,831.42,1965.0,,387.0,45.0,118.0,22.8,0.74,,,,,,,,,,,,,,,,,,,,,,,,
1047,Lao,J022449.2-001909,36.20522,-0.31917,,False,False,False,False,True,False,False,False,False,,,0.98,,,,,,,,,,,,44.16,,20.86,,,,22.0,63.0,9.6,,,,,,,,,,,,,,,,,,,,,,,,,
1048,Lao,J022555.5-103312,36.48167,-10.55301,0.72412,False,False,True,True,False,False,False,False,False,26.16,,0.71,,,,,DESI J022555.60-103310.8,,,,,,p,67.01,,39.12,,,216.0,29.0,160.4,46.6,,,,,,,,,,,,,,,,,,,,,,,,,
1049,Lao,J022641.9-015732,36.67821,-1.95857,0.17334,False,False,False,False,True,False,False,False,False,24.71,8.56,0.81,,,,,WISEA J022642.77-015730.8,,,,,,s,58.97,,31.91,,,112.0,37.0,69.2,18.2,1.17,-22.54,,,,,,,,,,,,,WHL J022637.9-015745,0.2549,p,1063.0,74.0,304.0,0.584,15.27,0.71,8.0,
1050,Lao,J022736.5-005255,36.90333,-0.88074,0.36228,False,True,False,True,False,False,False,False,False,25.57,9.13,1.01,,,,,WISEA J022736.79-005250.6,,,,,,s,77.1,,35.84,,,125.0,24.0,90.6,22.8,1.75,-23.22,,,,,,,,,,,,,WHL J022736.8-005251,0.3673,s,1487.0,0.0,0.0,0.93,68.04,3.0,42.0,
1051,Lao,J022807.8-011539,37.03267,-1.26122,2.04593,False,False,False,True,False,False,False,False,False,28.03,,0.72,,,,,[HB89] 0225-014,,,,,,s,454.66,,263.12,,,291.0,34.0,135.9,15.3,-0.05,,,,,,,,,,,,,,,,,,,,,,,,
1052,Lao+Sasmal,J022902.1+042859,37.25866,4.4842,0.19545,False,False,False,True,False,False,False,False,False,25.24,8.68,1.12,,,,,WISEA J022902.07+042903.1,f,,"1, 2, 2008",2MASX,,s,144.76,,61.7,,,130.0,39.0,136.7,22.0,1.33,-22.94,,,,,,,,,,,,,AMF J022902.1+042903,0.1955,s,828.0,0.0,0.0,0.921,57.29,2.54,47.0,Y
1053,Lao,J022959.5-103114,37.49771,-10.52156,1.29733,False,False,False,True,False,False,False,False,False,26.8,,1.01,,,,,DESI J022959.45-103117.6,,,,,,p,59.92,,27.8,,,318.0,37.0,164.8,95.9,,,,,,,,,,,,,,,WH J023003.7-103211,0.702,p,2591.0,83.0,612.0,0.485,15.56,0.72,11.0,
1054,Lao,J023006.5+061912,37.52726,6.31813,0.63739,False,False,True,True,False,False,False,False,False,25.64,,1.3,,,,,DESI J023006.54+061905.3,,,,,,p,20.24,,7.54,,,219.0,31.0,148.6,34.9,1.9,,,,,,,,,,,,,,,,,,,,,,,,
1055,Lao+Sasmal,J023117.4+053107,37.82091,5.51942,0.294,False,True,False,False,True,False,False,False,False,25.36,,1.16,,,,,DESI J023117.02+053109.9,f,,"1, 12",2MASX,,p,74.92,,30.84,262.0,,113.0,25.0,45.7,8.2,1.61,,,,,,,,,,,,,,Y21 J023117.4+053108,0.3062,p,1260.0,7.0,33.0,0.576,24.94,1.14,11.0,
1056,Lao,J023149.0+015542,37.95464,1.92825,1.35783,False,False,False,True,False,False,False,False,False,25.96,,0.64,,,,,DESI J023149.11+015541.7,,,,,,p,10.62,,6.51,,,155.0,18.0,157.7,18.4,,,,,,,,,,,,,,,,,,,,,,,,,
1057,Lao,J023216.6-003305,38.07117,-0.54987,0.26606,False,False,False,True,False,False,False,False,False,25.18,8.35,0.68,,,,,WISEA J023217.07-003259.5,,,,,,s,69.5,,41.45,,,139.0,33.0,134.4,13.1,1.38,-22.42,,,,,,,,,,,,,WH J023208.8-003445,0.9787,p,3348.0,163.0,1337.0,0.53,26.48,1.2,10.0,
1058,Lao,J023244.8-063203,38.18581,-6.53398,0.343,False,False,True,True,False,False,False,False,False,25.49,,0.92,,,,,WISEA J023244.59-063202.3,,,,,,s,74.37,,36.9,,,121.0,24.0,99.5,10.4,1.71,,,,,,,,,,,,,,AMF J023244.5-063202,0.3571,p,1449.0,1.0,5.0,0.802,49.17,2.19,33.0,
1059,Lao,J023250.9-002133,38.21043,-0.35977,1.02506,False,False,True,True,False,False,False,False,False,25.88,,0.95,,,,,DESI J023250.50-002135.2,,,,,,p,13.24,,6.41,,,207.0,25.0,132.1,11.4,2.31,,,,,,,,,,,,,,WH J023250.5-002135,1.0355,p,3488.0,0.0,0.0,0.513,20.67,0.95,6.0,
1060,Lao,J023305.6+031437,38.27246,3.24346,0.58173,False,False,True,True,False,False,False,False,False,25.37,8.33,0.65,,,,,WISEA J023305.39+031436.4,,,,,,s,18.68,,11.41,,,224.0,33.0,128.4,22.9,1.85,-23.69,,,,,,,,,,,,,WHL J023305.4+031436,0.5818,s,2220.0,0.0,0.0,0.688,38.54,1.73,20.0,
1063,Lao,J023741.9-013103,39.42527,-1.51919,1.28377,False,False,True,True,False,False,False,False,False,25.43,,0.06,,,,,DESI J023742.06-013109.1,,,,,,p,5.7,,5.46,,,283.0,33.0,152.1,,,,,,,,,,,,,,,,WH J023730.8-013114,1.0976,p,3637.0,169.0,1420.0,0.505,25.26,1.15,6.0,
1064,Lao,J023857.5+051324,39.73894,5.2222,0.30424,False,False,True,True,False,False,False,False,False,24.94,,0.78,,,,,DESI J023857.35+051319.9,,,,,,p,29.02,,16.01,,,176.0,38.0,135.8,31.0,1.74,,,,,,,,,,,,,,WHL J023857.3+051320,0.3144,p,1291.0,0.0,0.0,0.672,27.82,1.26,8.0,
1065,Lao,J023900.8-012037,39.75354,-1.34401,1.04642,False,False,False,True,False,False,False,False,False,25.94,,0.56,,,,,DESI J023900.85-012038.4,,,,,,p,19.49,,12.74,,,224.0,27.0,146.0,31.4,0.84,,,,,,,,,,,,,,,,,,,,,,,,
1066,Lao,J024128.9-000130,40.36867,-0.02445,0.48661,False,False,True,False,True,False,False,False,False,,,,,,,,DESI J024128.48-000128.0,,,,,,p,7.12,,,,,124.0,20.0,36.2,24.4,1.01,,,,,,,,,,,,,,SDSS CE J040.353397-00.029893,0.4129,p,1650.0,59.0,334.0,,,,,
1067,Lao,J024129.3-023514,40.37257,-2.5873,1.07423,False,False,True,True,False,False,False,False,False,26.16,,0.58,,,,,DESI J024129.42-023514.3,,,,,,p,30.0,,19.3,,,200.0,24.0,132.8,10.1,1.39,,,,,,,,,,,,,,WH J024124.6-023550,0.6045,p,2292.0,81.0,561.0,0.403,11.48,0.53,6.0,
1068,Lao,J024132.5-000128,40.38495,-0.02393,0.93185,False,False,True,True,False,False,False,False,False,,,,,,,,DESI J024132.39-000126.1,,,,,,p,10.52,,,,,186.0,23.0,116.2,138.9,0.63,,,,,,,,,,,,,,AMF J024143.2-000134,0.3753,s,1516.0,162.0,866.0,0.673,24.32,1.11,13.0,
1069,Lao+Sasmal,J024204.6-054411,40.52055,-5.73807,0.13641,False,True,False,True,False,False,False,False,False,24.5,8.68,0.6,,,,,WISEA J024204.93-054417.0,f,,"8, 16",2MASX,,s,62.59,,39.62,,,97.0,39.0,131.5,21.7,1.07,-22.89,,,,,,,,,,,,,Y21 J024205.7-054402,0.8331,p,2965.0,19.0,149.0,0.553,21.98,1.0,10.0,Y
1070,Lao,J024243.0-031144,40.67788,-3.1965,0.16881,False,False,True,True,False,False,False,False,False,25.42,,0.74,,,,,DESI J024242.69-031147.4,,,,,,p,324.46,,184.72,,,125.0,42.0,130.6,25.5,1.12,,,,,,,,,,,,,,WH J024247.0-031336,0.6414,s,2407.0,126.0,896.0,0.397,11.03,0.51,6.0,
1071,Lao,J024245.3-022533,40.68897,-2.42645,0.5339,False,False,False,True,False,False,False,False,False,25.17,8.88,0.69,,,,,SDSS J024245.35-022535.2,,,,,,s,14.04,,8.32,,,143.0,22.0,130.9,15.4,1.82,-23.18,,,,,,,,,,,,,WH J024241.7-022527,0.959,p,3298.0,56.0,457.0,0.372,11.57,0.54,6.0,
1072,Lao,J024312.0-010832,40.79985,-1.14387,0.48893,False,False,False,True,False,False,False,False,False,25.44,8.58,0.56,,,,,WISEA J024311.96-010837.9,,,,,,s,33.62,,21.89,,,199.0,32.0,156.6,,1.72,-22.42,,,,,,,,,,,,,WH J024312.0-010838,0.4889,s,1914.0,0.0,0.0,0.63,18.96,0.87,10.0,
1073,Lao,J024451.9-054758,41.21473,-5.80407,0.35539,False,False,True,True,False,False,False,False,False,26.33,,1.93,,,,,DESI J024451.54-054814.6,,,,,,p,354.31,,81.3,,,578.0,112.0,121.2,63.6,1.59,,,,,,,,,,,,,,,,,,,,,,,,
1074,Lao,J024531.5+015643,41.37995,1.94421,0.39429,False,True,False,True,False,False,False,False,False,25.54,,0.78,,,,,DESI J024531.19+015639.1,,,,,,p,64.33,,35.54,,,209.0,38.0,119.3,18.4,1.58,,,,,,,,,,,,,,,,,,,,,,,,
1076,Lao,J024603.4+035250,41.51529,3.88015,0.51445,False,False,True,True,False,False,False,False,False,25.18,,0.44,,,,,DESI J024603.67+035248.6,,,,,,p,17.41,,12.45,,,128.0,20.0,105.2,17.2,1.27,,,,,,,,,,,,,,,,,,,,,,,,
1077,Lao,J024612.2-084753,41.55325,-8.79321,0.13816,False,True,False,True,False,False,False,False,False,24.86,8.49,1.24,,,,,WISEA J024612.77-084735.5,j,,,,,s,129.79,,50.45,,,199.0,79.0,113.0,,1.09,-22.72,,,,,,,,,,,,,WHL J024612.8-084736,0.1394,s,599.0,0.0,0.0,0.641,16.27,0.75,10.0,
1078,Lao,J024631.7-011013,41.63182,-1.17201,0.62226,False,False,True,True,False,False,False,False,False,25.21,8.88,0.43,,,,,WISEA J024631.63-011019.2,,,,,,s,12.26,,8.85,,,189.0,27.0,105.5,12.8,1.88,-22.95,,,,,,,,,,,,,Y21 J024631.6-011019,0.6222,s,2348.0,0.0,0.0,0.652,31.46,1.42,17.0,
1079,Lao,J024636.8-070426,41.65348,-7.07438,1.0135,False,False,True,True,False,False,False,False,False,26.28,,0.79,,,,,DESI J024636.83-070427.8,,,,,,p,38.84,,21.26,,,248.0,30.0,166.8,23.0,0.66,,,,,,,,,,,,,,,,,,,,,,,,
1080,Lao,J024639.7-064210,41.66578,-6.70283,,False,False,True,True,False,False,False,False,False,,,1.06,,,,,,c,,,,,,30.83,,13.78,,,,43.0,107.0,15.7,,,,,,,,,,,,,,,,,,,,,,,,,
1081,Lao,J024653.6+053530,41.72386,5.58933,0.06872,False,True,False,True,False,False,False,False,False,23.71,,2.23,,,,,WISEA J024653.72+053521.5,,,,,,s,37.91,,6.95,,,25.0,19.0,159.7,18.3,,,,,,,,,,,,,,,,,,,,,,,,,
1082,Lao+Sasmal,J024808.6-011338,42.03575,-1.22907,0.27558,False,False,False,True,False,False,False,False,False,24.76,8.43,0.66,,,,,WISEA J024808.57-011344.6,f,a,,SDSS,,s,24.51,,14.8,,,126.0,29.0,119.9,12.4,1.57,-22.24,,,,,,,,,,,,,WH22 J024814.9-011255,0.9333,p,3232.0,108.0,875.0,0.585,35.55,1.6,12.0,
1083,Lao,J024920.1-065319,42.33306,-6.88944,0.40651,False,False,False,True,False,False,False,False,False,25.29,8.68,0.92,,,,,SDSS J024919.93-065321.9,,,,,,s,31.63,,15.74,,,123.0,22.0,142.7,8.6,1.83,-22.66,,,,,,,,,,,,,Y21 J024919.9-065322,0.4065,s,1628.0,0.0,0.0,0.584,18.23,0.84,8.0,
1084,Lao,J025030.9+005746,42.62876,0.96282,,False,False,False,True,False,False,False,False,False,,,0.63,,,,,,,,,,,,27.59,,17.13,,,,37.0,108.9,15.0,,,,,,,,,,,,,,,,,,,,,,,,,
1085,Lao,J025041.3-084323,42.67216,-8.72322,,False,False,True,False,True,False,False,False,False,,,0.63,,,,,,,,,,,,14.43,,8.92,,,,20.0,87.5,7.6,,,,,,,,,,,,,,,,,,,,,,,,,
1086,Lao,J025045.4-071853,42.68931,-7.31567,0.73712,False,False,True,True,False,False,False,False,False,26.13,,0.71,,,,,WISEA J025045.43-071856.4,,,,,,s,60.81,,35.43,,,202.0,27.0,145.2,21.8,1.23,-22.41,,,,,,,,,,,,,,,,,,,,,,,
1087,Lao,J025131.4-031039,42.88112,-3.17764,,False,False,False,True,False,False,False,False,False,,,1.09,,,,,,,,,,,,140.08,,61.09,,,,61.0,153.7,,0.85,,,,,,,,,,,,,,,,,,,,,,,,
1088,Lao,J025203.0+061207,43.01284,6.20215,,False,False,True,True,False,False,False,False,False,,,1.12,,,,,,,,,,,,41.79,,17.86,,,,26.0,106.5,24.9,1.37,,,,,,,,,,,,,,,,,,,,,,,,
1089,Lao,J025246.9-045344,43.19649,-4.89453,0.29008,False,False,False,True,False,False,False,False,False,25.1,8.23,0.67,,,,,WISEA J025247.15-045340.3,,,,,,s,47.93,,28.77,,,166.0,37.0,138.7,31.1,1.55,-22.97,,,,,,,,,,,,,WHY18 J025247.2-045340,0.29,s,1198.0,0.0,0.0,0.722,27.9,1.27,18.0,
1090,Lao,J025302.2+012747,43.26065,1.46221,0.83145,False,False,True,True,False,False,False,False,False,25.7,,0.29,,,,,DESI J025302.56+012744.0,,,,,,p,21.68,,17.32,,,274.0,35.0,116.2,12.8,2.04,,,,,,,,,,,,,,WH J025307.2+012503,0.7781,p,2812.0,176.0,1349.0,0.414,10.92,0.51,6.0,
1091,Lao,J025302.5-020650,43.2638,-2.11521,0.2377,False,False,False,True,False,False,False,False,False,25.03,8.31,1.07,,,,,WISEA J025303.31-020654.7,,,,,,s,58.06,,25.77,,,277.0,71.0,137.7,18.9,1.39,-22.73,,,,,,,,,,,,,AMF J025311.4-020723,0.239,s,1001.0,125.0,490.0,0.847,48.65,2.17,29.0,
1092,Lao,J025304.6+032221,43.26986,3.37055,0.78895,False,False,True,True,False,False,False,False,False,25.95,,0.65,,,,,DESI J025304.77+032214.0,,,,,,p,35.15,,21.41,,,285.0,37.0,112.1,23.1,2.08,,,,,,,,,,,,,,Y21 J025304.8+032214,0.7866,p,2836.0,0.0,0.0,0.79,68.46,3.02,30.0,
1093,Lao,J025343.3+015045,43.43066,1.84597,,False,False,True,True,False,False,False,False,False,,,1.05,,,,,,,,,,,,25.04,,11.21,,,,27.0,147.5,17.7,,,,,,,,,,,,,,,,,,,,,,,,,
1094,Lao,J025356.9-011347,43.48731,-1.22981,,False,False,True,True,False,False,False,False,False,,,1.11,,,,,,,,,,,,116.19,,49.85,,,,35.0,147.9,26.5,,,,,,,,,,,,,,,,,,,,,,,,,
1095,Lao,J025456.6-045436,43.73623,-4.90971,1.21853,False,False,True,True,False,False,False,False,False,27.16,7.74,0.93,,,,,SDSS J025456.69-045434.9,,,,,,s,171.2,,84.49,,,358.0,42.0,163.2,,0.74,-20.82,,,,,,,,,,,,,,,,,,,,,,,
1096,Lao,J025457.5-013929,43.73768,-1.65944,0.20373,False,False,False,True,False,False,False,False,False,24.74,8.84,0.57,,,,,WISEA J025457.04-013933.9,,,,,,s,46.46,,30.14,,,149.0,43.0,167.7,38.5,1.35,-23.05,,,,,,,,,,,,,,,,,,,,,,,
1097,Lao,J025554.4-040123,43.977,-4.02233,0.19878,False,False,True,True,False,False,False,False,False,25.06,,0.97,,,,,WISEA J025554.48-040120.3,,,,,,s,94.92,,45.16,,,132.0,39.0,151.4,41.6,1.33,,,,,,,,,,,,,,AMF J025554.7-040121,0.1987,s,841.0,3.0,10.0,0.991,70.11,3.09,36.0,
1098,Lao,J025615.5+005740,44.06503,0.96164,0.87943,False,True,False,True,False,False,False,False,False,25.72,,0.63,,,,,DESI J025615.61+005741.9,,,,,,p,16.25,,10.03,,,191.0,24.0,151.0,17.5,1.62,,,,,,,,,,,,,,WH22 J025615.9+005827,0.9133,p,3180.0,45.0,363.0,0.598,34.44,1.55,21.0,
1099,Lao+Sasmal,J025619.6-054250,44.08352,-5.71374,0.70206,False,False,False,False,True,False,False,False,False,26.47,,1.46,,,,,DESI J025620.04-054249.5,f,,1,GALEX,,p,98.94,,32.6,,,228.0,31.0,68.5,9.5,0.88,,,,,,,,,,,,,,WH J025617.7-054336,1.05,p,3524.0,58.0,483.0,0.417,17.63,0.81,6.0,
1100,Lao,J025654.4-013558,44.22887,-1.59975,0.22364,False,False,True,True,False,False,False,False,False,24.56,8.62,0.78,,,,,WISEA J025654.92-013559.1,,,,,,s,23.87,,13.16,,,272.0,73.0,150.5,225.4,1.43,-22.78,,,,,,,,,,,,,AMF J025654.0-013718,0.2241,s,942.0,80.0,299.0,1.161,111.63,4.86,72.0,
1101,Lao,J025703.2-060854,44.26342,-6.14854,,False,False,True,False,True,False,False,False,False,,,1.81,,,,,,,,,,,,361.26,,90.63,,,,53.0,20.0,6.4,,,,,,,,,,,,,,,,,,,,,,,,,
1102,Lao,J025710.7+063757,44.29521,6.63432,0.18047,False,False,True,True,False,False,False,False,False,26.24,,1.43,,,,,DESI J025710.85+063803.6,,,,,,p,1629.25,,549.58,,,331.0,105.0,163.9,78.2,1.29,,,,,,,,,,,,,,WHY18 J025710.8+063804,0.1442,p,619.0,0.0,0.0,0.604,23.33,1.06,10.0,
1103,Lao,J025741.8+060159,44.4232,6.02693,0.02215,False,False,True,True,False,False,False,False,False,24.85,,2.97,,,,,2MASX J02574155+0601371,,,,,,s,5609.42,,583.07,,,92.0,199.0,148.4,206.8,,,,,,,,,,,,,,,ABELL 0400,0.0243,p,107.0,71.0,36.0,,,,,
1104,Lao,J025758.6+020939,44.49392,2.16119,0.93215,False,False,True,True,False,False,False,False,False,26.62,,0.34,,,,,SDSS J025758.54+020940.2,,,,,,s,137.29,,105.89,,,218.0,27.0,132.1,11.6,0.16,,,,,,,,,,,,,,WH J025758.0+021228,0.8984,p,3141.0,168.0,1348.0,0.388,12.94,0.6,7.0,
1105,Lao,J025833.1-002022,44.63822,-0.33967,,False,False,True,True,False,False,False,False,False,,,0.29,,,,,,,,,,,,16.19,,12.96,,,,32.0,150.1,19.0,1.92,,,,,,,,,,,,,,,,,,,,,,,,
1106,Lao,J025853.1+005612,44.72124,0.93683,,False,False,True,True,False,False,False,False,False,,,0.47,,,,,,,,,,,,21.92,,15.28,,,,25.0,125.1,15.5,1.56,,,,,,,,,,,,,,,,,,,,,,,,
1107,Lao,J025921.2-051728,44.8389,-5.29104,0.26237,False,False,False,True,False,False,False,False,False,25.24,8.41,1.56,,,,,WISEA J025921.33-051727.7,,,,,,s,66.4,,20.15,,,121.0,29.0,167.1,66.4,1.58,-23.16,,,,,,,,,,,,,CFSFDP J025921.3-051728,0.2624,s,1092.0,0.0,0.0,0.659,24.18,1.1,8.0,
1108,Lao,J025935.1-032014,44.89668,-3.3382,1.78873,False,False,True,True,False,False,False,False,False,26.72,,0.45,,,,,SDSS J025935.20-032017.5,,,,,,s,39.71,,28.28,,,294.0,34.0,152.2,24.1,0.35,,,,,,,,,,,,,,Y21 J025934.8-031925,0.499,p,1948.0,53.0,334.0,0.532,22.43,1.02,7.0,
1109,Lao,J030027.5-035046,45.11397,-3.84653,0.61333,False,False,True,True,False,False,False,False,False,25.39,,0.57,,,,,DESI J030027.35-035047.5,,,,,,p,18.17,,11.81,,,139.0,20.0,107.1,11.9,1.98,,,,,,,,,,,,,,WHL J030027.4-035048,0.6128,p,2318.0,0.0,0.0,0.701,41.6,1.86,24.0,
1110,Lao,J030222.9-072102,45.59583,-7.35122,0.9706,False,False,True,True,False,False,False,False,False,26.2,,1.0,,,,,DESI J030223.00-072104.4,,,,,,p,31.05,,14.52,,,327.0,40.0,157.4,37.3,,,,,,,,,,,,,,,WH J030226.2-072207,0.6221,p,2347.0,78.0,547.0,0.459,14.84,0.69,8.0,
1111,Lao,J030300.2-001131,45.74806,-0.19315,0.15797,False,True,False,False,True,False,False,False,False,24.68,8.4,1.24,,,,,WISEA J030259.53-001135.3,,,,,,s,63.64,,24.67,,,84.0,30.0,45.7,11.9,1.23,-22.5,,,,,,,,,,,,,maxBCG J030259.5-001136,0.1586,s,678.0,0.0,0.0,0.81,39.01,1.75,18.0,
1112,Lao,J030407.0-071008,46.02941,-7.17035,0.37291,False,False,False,True,False,False,False,False,False,25.44,,0.52,,,,,DESI J030407.06-071013.3,,,,,,p,62.51,,42.17,,,180.0,34.0,146.8,47.6,1.55,,,,,,,,,,,,,,WH J030407.1-071013,0.4345,p,1727.0,0.0,0.0,0.504,14.69,0.68,8.0,
1113,Lao,J030420.6+052834,46.08765,5.47691,0.59588,False,True,False,True,False,False,False,False,False,26.19,,0.88,,,,,DESI J030421.04+052836.9,,,,,,p,103.62,,53.11,,,330.0,48.0,130.0,24.6,1.94,,,,,,,,,,,,,,Y21 J030432.4+052740,0.7995,p,2872.0,180.0,1393.0,0.607,35.27,1.59,8.0,
1114,Lao,J030608.6-083146,46.53522,-8.53029,0.74325,False,False,True,True,False,False,False,False,False,25.63,,1.26,,,,,DESI J030608.45-083149.0,,,,,,p,13.84,,5.3,,,203.0,27.0,148.9,32.7,2.1,,,,,,,,,,,,,,,,,,,,,,,,
1115,Lao,J030726.1+045518,46.86086,4.92267,,False,False,True,True,False,False,False,False,False,,,1.81,,,,,DESI J030726.61+045521.6,,,,,,,35.05,,8.82,,,,52.0,138.2,38.3,,,,,,,,,,,,,,,,,,,,,,,,,
1116,Lao+Sasmal,J030849.9-060731,47.20955,-6.1269,0.18896,False,True,False,True,False,False,False,False,False,24.99,,1.2,,,,,DESI J030850.29-060736.8,f,,1,2MASX,,p,87.01,,34.78,,,264.0,81.0,165.6,104.9,,,,,,,,,,,,,,,WHY18 J030848.5-060715,0.1891,p,802.0,35.0,115.0,0.87,49.87,2.22,20.0,
1117,Lao,J031115.1+012306,47.81221,1.38622,0.50149,False,False,True,True,False,False,False,False,False,25.75,,0.57,,,,,DESI J031114.93+012310.4,,,,,,p,64.35,,41.57,,,214.0,34.0,103.3,11.3,2.02,,,,,,,,,,,,,,WHL J031114.9+012310,0.4965,p,1940.0,0.0,0.0,0.89,55.07,3.24,14.0,
1120,Lao,J031314.0+001811,48.30723,0.30382,0.68836,False,True,False,False,True,False,False,False,False,25.45,,-0.14,,,,,DESI J031313.74+001813.8,,,,,,p,23.23,,25.76,,,183.0,25.0,80.7,12.1,1.45,,,,,,,,,,,,,,WH J031315.4+001731,0.6562,p,2453.0,49.0,352.0,0.49,13.84,0.64,6.0,
1121,Lao,J031318.6+003628,48.32779,0.60663,1.25039,False,False,False,True,False,False,False,False,False,26.6,,0.54,,,,,DESI J031318.67+003623.9,,,,,,s,59.82,,39.52,,,591.0,69.0,156.1,52.3,0.53,,,,,,,,,,,,,,CFSFDP J031320.0+003716,0.3956,s,1589.0,55.0,304.0,0.585,22.83,1.04,8.0,
1122,Lao,J031318.7+053548,48.32638,5.59546,,False,False,False,True,False,False,False,False,False,,,1.07,,,,,DESI J031318.33+053543.7,,,,,,,37.65,,16.62,,,,25.0,95.1,21.4,,,,,,,,,,,,,,,,,,,,,,,,,
1123,Sasmal,J031329.0-063119,48.37104167,-6.522083333,,False,False,False,True,False,False,False,False,False,,,,,,,,,,,1,EE,,,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1124,Lao,J031459.7-020522,48.74694,-2.0891,0.22509,False,False,False,False,True,False,False,False,False,24.95,,1.12,,,,,DESI J031459.26-020520.8,,,,,,p,54.24,,23.02,,,119.0,32.0,79.3,11.6,,,,,,,,,,,,,,,WH J031501.3-020726,0.5714,p,2186.0,129.0,870.0,0.462,10.4,0.49,6.0,
1125,Lao+Sasmal,J031742.0-081634,49.42491,-8.27681,0.47344,False,False,True,True,False,False,False,False,False,25.78,,0.77,,,,,DESI J031741.98-081636.5,f,,,EE,,p,73.68,,40.97,,,220.0,36.0,151.6,17.8,1.72,,,,,,,,,,,,,,,,,,,,,,,,
